FTC String,Code
Dadra and Nagar Haveli-West Bengal,732
Daman and Diu-Daman and Diu,332
Daman and Diu-Daman and Diu_SEZ,302
Daman and Diu-Gujarat,707
Daman and Diu-Haryana,792
Daman and Diu-Karnataka,644
Daman and Diu-Ladakh,855
Daman and Diu-Maharashtra,41
Daman and Diu-Rajasthan,606
Daman and Diu-Tamil Nadu,679
Daman and Diu-Telangana,752
Daman and Diu-Uttar Pradesh,668
Delhi-Andaman and Nicobar Islands,42
Delhi-Andhra Pradesh,43
Delhi-Arunachal Pradesh,44
Delhi-Assam,45
Delhi-Bihar,46
Delhi-Chandigarh,47
Delhi-Chhattisgarh,48
Delhi-Dadra and Nagar Haveli,49
Delhi-Daman and Diu,50
Delhi-Delhi,51
Delhi-Delhi_SEZ,303
Delhi-Goa,52
Delhi-Gujarat,53
Delhi-Haryana,54
Delhi-Himachal Pradesh,55
Delhi-Jammu and Kashmir,56
Delhi-Jharkhand,57
Delhi-Karnataka,58
Delhi-Kerala,59
Delhi-Ladakh,856
Delhi-Lakshadweep,60
Delhi-Madhya Pradesh,61
Delhi-Maharashtra,62
Delhi-Manipur,63
Delhi-Meghalaya,64
Delhi-Mizoram,65
Delhi-Nagaland,66
Delhi-Orissa,67
Delhi-Pondicherry,68
Delhi-Punjab,69
Delhi-Rajasthan,70
Delhi-Sikkim,71
Delhi-Tamil Nadu,72
Delhi-Telangana,73
Delhi-Tripura,74
Delhi-Uttar Pradesh,75
Delhi-Uttarakhand,76
Delhi-West Bengal,77
Goa-Chhattisgarh,727
Goa-Delhi,697
Goa-Goa,335
Goa-Goa_SEZ,304
Goa-Gujarat,604
Goa-Haryana,448
Goa-Karnataka,692
Goa-Ladakh,857
Goa-Maharashtra,78
Goa-Tamil Nadu,748
Goa-Telangana,776
Goa-Uttar Pradesh,754
Goa-West Bengal,736
Gujarat-Andaman and Nicobar Islands,560
Gujarat-Andhra Pradesh,578
Gujarat-Assam,458
Gujarat-Bihar,428
Gujarat-Chandigarh,79
Gujarat-Chhattisgarh,80
Gujarat-Dadra and Nagar Haveli,519
Gujarat-Daman and Diu,84
Gujarat-Delhi,81
Gujarat-Goa,629
Gujarat-Gujarat,85
Gujarat-Gujarat_SEZ,305
Gujarat-Haryana,82
Gujarat-Himachal Pradesh,721
Gujarat-Jammu and Kashmir,639
Gujarat-Jharkhand,475
Gujarat-Karnataka,86
Gujarat-Kerala,545
Gujarat-Ladakh,858
Gujarat-Madhya Pradesh,504
Gujarat-Maharashtra,87
Gujarat-Manipur,440
Gujarat-Nagaland,438
Gujarat-Orissa,484
Gujarat-Punjab,88
Gujarat-Rajasthan,83
Gujarat-Tamil Nadu,89
Gujarat-Telangana,90
Gujarat-Tripura,447
Gujarat-Uttar Pradesh,91
Gujarat-Uttarakhand,360
Gujarat-West Bengal,92
Haryana-Andhra Pradesh,572
Haryana-Assam,669
Haryana-Bihar,585
Haryana-Chandigarh,771
Haryana-Chhattisgarh,489
Haryana-Daman and Diu,793
Haryana-Delhi,94
Haryana-Goa,750
Haryana-Gujarat,509
Haryana-Haryana,93
Haryana-Haryana_SEZ,306
Haryana-Himachal Pradesh,659
Haryana-Jammu and Kashmir,636
Haryana-Jharkhand,623
Haryana-Karnataka,528
Haryana-Kerala,537
Haryana-Ladakh,859
Haryana-Madhya Pradesh,624
Haryana-Maharashtra,521
Haryana-Meghalaya,635
Haryana-Orissa,620
Haryana-Punjab,379
Haryana-Rajasthan,594
Haryana-Tamil Nadu,549
Haryana-Telangana,599
Haryana-Uttar Pradesh,95
Haryana-Uttarakhand,355
Haryana-West Bengal,591
Himachal Pradesh-Andhra Pradesh,780
Himachal Pradesh-Assam,690
Himachal Pradesh-Chandigarh,601
Himachal Pradesh-Dadra and Nagar Haveli,680
Himachal Pradesh-Delhi,97
Himachal Pradesh-Gujarat,603
Himachal Pradesh-Haryana,387
Himachal Pradesh-Himachal Pradesh,96
Himachal Pradesh-Himachal Pradesh_SEZ,307
Himachal Pradesh-Jammu,802
Himachal Pradesh-Karnataka,526
Himachal Pradesh-Kerala,684
Himachal Pradesh-Ladakh,860
Himachal Pradesh-Madhya Pradesh,497
Himachal Pradesh-Maharashtra,581
Himachal Pradesh-Meghalaya,650
Himachal Pradesh-Orissa,737
Himachal Pradesh-Punjab,630
Himachal Pradesh-Rajasthan,611
Himachal Pradesh-Tamil Nadu,547
Himachal Pradesh-Telangana,561
Himachal Pradesh-Uttar Pradesh,413
Himachal Pradesh-Uttarakhand,779
Himachal Pradesh-West Bengal,641
Jammu and Kashmir-Bihar,587
Jammu and Kashmir-Chhattisgarh,98
Jammu and Kashmir-Delhi,99
Jammu and Kashmir-Gujarat,602
Jammu and Kashmir-Haryana,386
Jammu and Kashmir-Himachal Pradesh,372
Jammu and Kashmir-Jammu and Kashmir,100
Jammu and Kashmir-Jammu and Kashmir_SEZ,308
Jammu and Kashmir-Karnataka,625
Jammu and Kashmir-Kerala,627
Jammu and Kashmir-Ladakh,861
Jammu and Kashmir-Madhya Pradesh,101
Jammu and Kashmir-Maharashtra,520
Jammu and Kashmir-Punjab,671
Jammu and Kashmir-Rajasthan,609
Jammu and Kashmir-Tamil Nadu,628
