FTC String,Code
West Bengal-Maharashtra,278
West Bengal-Manipur,279
West Bengal-Meghalaya,280
West Bengal-Mizoram,281
West Bengal-Nagaland,282
West Bengal-Orissa,283
West Bengal-Pondicherry,284
West Bengal-Punjab,285
West Bengal-Rajasthan,286
West Bengal-Sikkim,287
West Bengal-Tamil Nadu,288
West Bengal-Telangana,289
West Bengal-Tripura,290
West Bengal-Uttar Pradesh,291
West Bengal-Uttarakhand,292
West Bengal-West Bengal,293
West Bengal-West Bengal_SEZ,329
